index,loss
4993000,1.8809418678283691
4994000,1.793243646621704
4995000,1.8173186779022217
4996000,1.858728051185608
4997000,1.8380502462387085
4998000,1.8148627281188965
4999000,1.775488018989563
5000000,1.8657612800598145
5001000,1.814831018447876
5002000,1.9077448844909668
5003000,1.829194188117981
5004000,1.8221313953399658
5005000,1.8775551319122314
5006000,1.7919880151748657
5007000,1.7925264835357666
5008000,1.9114032983779907
5009000,1.7738127708435059
5010000,1.8465590476989746
5011000,1.731899619102478
5012000,1.8776521682739258
5013000,1.785374641418457
5014000,1.783066749572754
5015000,1.686230182647705
5016000,1.7383794784545898
5017000,1.8402431011199951
5018000,1.768800973892212
5019000,1.8641042709350586
5020000,1.7520954608917236
5021000,1.7850303649902344
5022000,1.7735376358032227
5023000,1.7667391300201416
5024000,1.7858537435531616
5025000,1.802057147026062
5026000,1.8669283390045166
5027000,1.7293646335601807
5028000,1.8708992004394531
5029000,1.8282334804534912
5030000,1.8924899101257324
5031000,1.7655084133148193
5032000,1.9143078327178955
5033000,1.8941013813018799
5034000,1.8719673156738281
5035000,1.8191912174224854
5036000,1.8363511562347412
5037000,1.8195172548294067
5038000,1.7636785507202148
5039000,1.8778584003448486
5040000,1.7958765029907227
5041000,1.8390965461730957
5042000,1.7855348587036133
5043000,1.7832732200622559
5044000,1.709094762802124
5045000,1.780002474784851
5046000,1.7474925518035889
5047000,1.7522718906402588
5048000,1.7634315490722656
5049000,1.8446245193481445
5050000,1.8152990341186523
5051000,1.897064447402954
5052000,1.797743320465088
5053000,1.8212393522262573
5054000,1.8313212394714355
5055000,1.7835414409637451
5056000,1.845548152923584
5057000,1.8079383373260498
5058000,1.7203567028045654
5059000,1.746095895767212
5060000,1.8508899211883545
5061000,1.8719977140426636
5062000,1.8509032726287842
5063000,1.7724186182022095
5064000,1.7619047164916992
5065000,1.7884910106658936
5066000,1.7570524215698242
5067000,1.6958835124969482
5068000,1.7667953968048096
5069000,1.871239423751831
5070000,1.8123036623001099
5071000,1.693449854850769
5072000,1.777469515800476
5073000,1.784989595413208
5074000,1.806838035583496
5075000,1.811144232749939
5076000,1.8151735067367554
5077000,1.7019102573394775
5078000,1.739465594291687
5079000,1.7940391302108765
5080000,1.7973198890686035
5081000,1.7884207963943481
5082000,1.7489655017852783
5083000,1.67107355594635
5084000,1.7012746334075928
5085000,1.799665927886963
5086000,1.7269337177276611
5087000,1.8367509841918945
5088000,1.7374948263168335
5089000,1.8173556327819824
5090000,1.8369519710540771
5091000,1.705188512802124
5092000,1.70724356174469
5093000,1.6974456310272217
5094000,1.7509336471557617
5095000,1.730617642402649
5096000,1.7197213172912598
5097000,1.7956867218017578
5098000,1.5955784320831299
5099000,1.6994099617004395
5100000,1.767555832862854
5101000,1.6535286903381348
5102000,1.7605524063110352
5103000,1.680845022201538
5104000,1.7269041538238525
5105000,1.7072954177856445
5106000,1.6636168956756592
5107000,1.652300477027893
5108000,1.6595913171768188
5109000,1.6568326950073242
5110000,1.732961654663086
5111000,1.5745859146118164
5112000,1.8048975467681885
5113000,1.7301709651947021
5114000,1.6491012573242188
5115000,1.7250330448150635
5116000,1.667441964149475
5117000,1.6667511463165283
5118000,1.7030398845672607
5119000,1.766540288925171
5120000,1.7021093368530273
5121000,1.688165307044983
5122000,1.7139599323272705
5123000,1.7457255125045776
5124000,1.728249192237854
5125000,1.7774018049240112
5126000,1.7219483852386475
5127000,1.6959396600723267
5128000,1.7020835876464844
5129000,1.712937831878662
5130000,1.6565394401550293
5131000,1.579448938369751
5132000,1.7091245651245117
5133000,1.6786856651306152
5134000,1.7160224914550781
5135000,1.674617052078247
5136000,1.7227394580841064
5137000,1.7972193956375122
5138000,1.7003298997879028
5139000,1.7498431205749512
5140000,1.832417607307434
5141000,1.7946970462799072
5142000,1.714430332183838
5143000,1.6335389614105225
5144000,1.713944673538208
5145000,1.7465431690216064
5146000,1.59498131275177
5147000,1.6010510921478271
5148000,1.6287403106689453
5149000,1.6002790927886963
5150000,1.6851704120635986
5151000,1.636063814163208
5152000,1.6736865043640137
5153000,1.6099318265914917
5154000,1.606477975845337
5155000,1.5929515361785889
5156000,1.6529709100723267
5157000,1.7180395126342773
5158000,1.6760947704315186
5159000,1.7104671001434326
5160000,1.6838750839233398
5161000,1.614089846611023
5162000,1.5883086919784546
5163000,1.5551741123199463
5164000,1.5958951711654663
